text,label
今天有幸拿到了港版白色iPhone 5真機，,0
試玩了一下，說說感受吧：,0
1. 真機尺寸寬度與4/4s保持一致沒有變化，,0
長度多了大概一釐米，,0
也就是之前所說的多了一排的圖示。,0
2. 真機重量比上一代輕了很多，,1
個人感覺跟i9100的重量差不多。,0
（用慣上一代的朋友可能需要一段時間適應了）,0
3. 由於目前還沒有版的SIM卡，,0
無法插卡使用，,0
有購買的朋友要注意了，,0
並非簡單的剪卡就可以用，,0
而是需要去運營商更換新一代的SIM卡。,0
4. 螢幕顯示效果確實比上一代有進步，,1
不論是從清晰度還是不同角度的視角，,0
iPhone 5絕對要更上一層，,0
我想這也許是相對上一代最有意義的升級了。,0
5. 新的資料介面更小，,1
比上一代更好用更方便，,0
使用的過程會有這樣的體會。,0
6. 從簡單的幾個操作來講速度比4s要快，,1
這個不用測試軟體也能感受出來，,0
比如程式的呼叫以及照片的拍攝和瀏覽。,0
不過，,0
目前水貨市場上坑爹的價格，,0
最好大家可以再觀望一下，,0
不要急著出手。,0
　1，外觀上，,0
iPhone5不是用來ZB的，,0
所以別人看不看得出來，,0
並不是我關心的問題。,0
4寸的螢幕，,1
體驗還不錯，,0
但更輕薄這一點，,0
非常喜歡。,0
至於所謂的質感，,0
跟前後面玻璃的確實有不同，,0
但5的手感也是相當的給力，,1
比起有些塑膠殼子的強不知道多少倍。,0
　　2，iOS6在iPhone5上的體驗，,0
還是相當完善的，,0
沒有4S的各種閃退。,0
全景照片真的很爽!,1
　　3，前置攝像頭，,1
清晰了很多，,0
但用處並不是特別大，,0
自拍的癖好木有....,0
　　4，背面的鏡頭感覺提升了一些，,1
但不太明顯，,0
不過對於我這種非攝影發燒友，,0
足足夠夠了，,0
各位別指望跟單反比，,0
要冷靜。,0
　　5，小介面，,0
非常喜歡。,0
因為我的周邊不多，,0
所以幾乎不影響。,0
小介面沒有正反面，,0
而且插入的那個感覺還是不錯的。,0
　　6，電池，,0
1天1充，,0
這個貌似沒什麼可抱怨的。,0
充電速度很滿意，,1
另外我有移動電源，,0
隨時用隨時充就可以了。,0
　　7，掉漆問題，,0
白色的不明顯，,0
我自己還沒發現。,0
用的時候略微注意點就好，,0
至於半年之後可能掉不掉也不關心了。,0
手機是買來用的，,0
不是收藏品。,0
　　8，網上反饋的那些問題，,0
我這裡就偶爾出現破圖現象，,0
尤其在App Store呼叫輸入法時，,0
貌似iOS6的問題，,0
等待更新吧。,0
其他的均沒有發現，,0
應該是極小概率事件了。,0
　　9，App應用仍然很給力，,1
從一個App是否立刻更新支援iPhone5，,0
能看出一定的態度。,0
當然，,0
iPhone5還是小眾，,0
可以不在乎，,0
呵呵。,0
　　10，耳機，,0
效果不錯，,0
放在耳朵裡的感覺也比較舒服，,0
長時間佩戴無痛感。,0
蘋果iPhone5新機到手 對比4S使用感受,0
1，外觀。,0
一開始看釋出會和網上照片，,0
我和大多數人觀點一樣：,0
變化不大，,0
有點小失望。,0
但是真的把5和4s放在一起，,0
就可以發現5還是好看不少。,0
金屬背殼非常有質感，,1
加上精良的工藝，,1
真的非常耐看。,0
2，手感。 ,0
沒錯，,0
這就是我想要的手感，,1
輕薄又不失穩重，,0
長度對我完全ok，,0
而且手握的時候剛好，,0
很有安全感，,0
回頭看反而4s有點握不住要掉的感覺。,0
打字的時候食指剛好能按到上沿的鎖屏鍵（手小的mm恐怕做不到）至於側鍵和4s一樣，,0
位置恰到好處。,0
裝在兜裡也十分完美。,0
也是這些原因讓我果斷選擇了果奔。,0
3，體驗，,1
一如既往的好，,0
在執行大程式比如無盡之劍，,0
3d地圖的時候比4s有非常明顯的優勢，,1
所以效能的提升絕對不是紙面資料而已。,1
4，ios6，,0
相信很多人都升級了，,0
所以不多說。,0
簡單講siri雖然有時不那麼靈，,2
也是很實用的功能。,1
尤其是開車的時候，,0
作用不小。,0
防打擾模式很實用，,1
照片分享也給力很多。,1
地圖也經常被吐槽，,2
導航延遲有點大，,2
總之只能作為輔助工具。,0
5，網路，,1
lte確實很快，,0
訊號滿格的時候簡直像是從硬盤裡開東西。,0
只是用起來發熱有點厲害，,2
不敢多用，,0
怕傷機器。,0
之前有人說iphone5跑流量厲害，,0
自己用沒發現，,0
平時有wifi都是自動走wifi，,0
一點不用擔心。,0
感覺一個月300mb應付一下出門足夠了。,0
就這些把吧，,0
大家有問題可以一起討論下。,0
我不是果粉，,0
但是也用了不少蘋果的東西，,0
感覺iphone5絕對夠出色，,0
只是不要把蘋果當成神。,0
理性地想一想，,0
現在手機有幾款能比iphone更能滿足我們對手機的需求呢？,0
iPhone5半天的感受：,0
螢幕驚豔，,1
拍照效果完美,1
 入手感覺很精巧，,1
因為很輕，,0
也很薄。,0
剛開始會不習慣，,0
過一會就感覺很好了，,0
我手裡的是一個黑色版，,0
拿在手裡聽音樂的時候，,0
感覺像個從太空來的裝置。,0
結論當然是值得買，,0
用蘋果手機的感受確實不是其他手機能比的,0
      電池沒問題，,1
感覺應該是4S略長點，,0
用了一天，,0
下載上網電話簡訊各種操作，,0
到晚上還有30%的電。,0
      做工很好，,1
不能拆的機身讓手機看上去毫無破綻，,0
機身長出了一截，,0
但是寬度沒有增加，,0
所以看上去會細長一些，,0
這個得看個人喜歡不喜歡了，,0
估計女孩子會更開心。,0
每個細節都很出色，,1
這讓我想起網際網路設計師們經常說的一句話，,0
這是畫素級的設計。,1
      螢幕好，,1
不過因為之前一直在用news pad，,0
倒也沒有覺得很贊，,0
認真看看，,0
可以看到每個漢字都很精細，,0
像浮在螢幕上一樣。,0
用過iPhone5，,0
再用我其他的手機，,0
看著螢幕會有點彆扭。,0
      那個拍照實在是太好了，,1
好得讓人無話可說了，,0
之前很多人說三星的galaxy s3拍得好，,0
跟這個一比，,0
就顯得有點山寨。,0
到底好到什麼程度，,0
只有親身體會才能知道了。,0
      新的介面小巧得多了，,1
有點接近一個小USB介面，,0
肯定是比之前那個大扁口看著舒服，,0
也難怪蘋果決心改掉。,0
      音響是最讓人驚訝的，,1
那個新耳機，,1
要說起來應該算是入耳式的，,0
之前我特別不喜歡各種入耳式的耳機，,0
但是這個毫無壓力，,0
設計得很好，,0
塞在耳朵裡沒有一點不舒服的感覺。,0
用iphone5配上這個耳機聽音樂，,0
真的是享受，,0
說起來音樂是比影片更強大的移動應用，,0
至少目前看是這樣。,0
      當然螢幕這麼好，,1
iphone5看影片很棒了，,1
我用迅雷看看導進去一集生活大爆炸，,0
螢幕兩邊是留的有黑邊，,0
不過大概是因為黑色版本，,0
所以也看不出來，,0
畫面很炫。,1
      系統操作沒什麼可說的，,1
蘋果一向的流暢，,0
觸控仍然是無人可及，,1
不過嘗試著用瀏覽器載入網路影片時，,0
如果是太高畫質的影片，,0
會出現一時無法響應的情況，,0
按掉回到主螢幕，,0
再回到瀏覽器下還是沒有反應，,0
這個以前沒有碰到過。,0
      說說軟體，,0
蘋果的軟體實在是太多太好，,1
很多軟體都有安卓版和ios版，,0
相比之下，,0
無論是介面設計還是互動，,1
無論是介面設計還是互動，,1
ios的版本都要強得多，,0
尤其是介面設計，,0
難道安卓的設計師們也自認是吊絲設計師嗎，,0
這真是讓人想不通啊。,0
      最後siri，,1
這個識別率很高，,0
我用河南普通話發問，,0
也識別出來了，,0
好吧，,0
我佩服你。,0
霸道、大氣中獨有的精典iphone5,0
蘋果iPhone5上市以來已經過去1個多月了，,0
iPhone的熱潮依然不減，,0
而且還有明顯的升溫，,0
iPhone 5的售價從6800元回升至8000元左右，,0
經過一段時期的逆襲後，,0
過去一週，,0
蘋果延續大暴跌，,0
現iPhone5最新報價有相當大的跌幅，,0
喜歡的朋友不妨繼續觀望,0
個人認為這個網上的it產品的價效比不錯線上友情提示: ,0
這款機子確實很不錯！,0
 一星期我已經買了兩臺K860i了，,0
一白一黑。,0
之前準備買小米的，,0
太討厭搶購了，,0
轉投大K。,0
一週使用下來，,0
沒發現電話迴音的問題（當然就算是有也已經做好準備自己搞定了），,0
其他都很正常，,0
大K確實是很不錯的一款4核強機，,0
如果聯想在宣傳和培養使用者群方面做得更好一點，,0
一定不會輸給小米。,0
        為了聯想以後做得更好，,0
我還是要說點大K的不足之處。,0
當然聽不聽在聯想，,0
說不說在我。,0
        1.這款手機設計上最大的敗筆就是攝像頭，,2
且不說其他網友說的突出出來的問題，,0
就是攝像頭的位置，,2
顯然就沒經過仔細考慮。,0
大K 在照相時肯定要兩手操作的，,0
攝像頭的位置讓左手很容易捏到，,0
讓鏡頭變花，,0
或照相的時候左手手指很容易遮擋鏡頭，,0
你就算是蘭花指翹到天上去，,0
還是很容易擋到。,0
        2.說明書沒說明，,2
功能選單設定又不是很合理，,2
所以剛拿到大K時，,0
為了某個功能要摸索很長時間。,0
①檔案的複製、剪下、刪除、傳送功能是使用頻率非常高的功能，,0
大K卻把這些功能設定在次級選單裡，,0
找出這些功能費了不少時間，,0
以後操作應該不是很方便；,2
②照相機的連拍功能，,2
找了幾天都沒找到，,0
以為沒有，,0
準備諮詢售後，,0
最後在一個次級選單裡找到了教程，,0
看了教程才知道怎麼操作。,0
        希望聯想越做越好，,0
讓我們這些支援國貨的機油有個伸腰的機會。,0
        你們的K860i相機鏡頭經常會是這樣的嗎？,0
關注索尼L36h很久，,0
3月初第一批國行到貨，,0
果斷入手。,0
4999元送MW600藍芽。,0
   圖片不晒了，,0
到處倒是，,0
直接談體會。,0
   一、外觀感受：,1
   精緻、簡約、唯美。,0
直板機登峰造極的造型設計作品，,0
很難超越。,0
黑、白、紫三種顏色各有特點，,0
我喜歡黑、白二色，,0
最終選擇白色。,0
大屏直板機受三圍尺寸所限，,0
造型設計幾乎沒有空間，,0
只能在邊、角區域輾轉騰挪，,0
難度巨大。,0
L36h的造型刪繁就簡，,1
以拱窗型纖細邊框，,0
使柔和優雅與方正大氣交融；,0
用鏡面和磨砂的質感反差，,0
實現靜謐同生動並存。,0
一款藝術化的工業產品，,0
個性獨特，,0
無可替代。,0
   二、防水：,0
   購機時銷售員開啟手機防水塞介紹，,0
內嵌試水條，,0
遇水變紅，,0
如因進水造成故障，,0
不予保修。,0
我說這不合理，,0
防水機進水屬於質量缺陷，,0
不該拒保。,0
售貨員也認為有矛盾，,0
於是達成共識，,0
先試水後購機。,0
之後將新機放入水中測試，,0
可在水底正常亮屏顯示來電，,0
出水後檢查試水條無變色。,0
   三、開機使用：,0
    1、3G上網速度很快，,1
明顯優於我的舊機。,0
    2、無紙版使用說明書，,0
可從手機線上支援下載《使用者指南》。,0
耗20M流量。,0
    3、螢幕未發現壞點。,0
441ppi的5寸屏，,0
顯示效果纖毫必現，,1
色彩明豔。,1
    4、電腦連線問題：,0
點選 設定\開發人員選項（開啟右上角開關並確定）\勾選USB除錯並確定，,0
之後方可成功連線電腦。,0
    5、系統自帶OffigeSuite辦公軟體只有閱讀功能不能編輯文件，,0
可解除安裝更換。,0
    6、點選 設定\應用\可解除安裝無用軟體，,0
暫緩行貨不宜root之苦。,0
    7、陀螺儀和遊戲問題：,0
試玩大型3D遊戲《現代戰爭4》，,0
畫面清晰恢巨集，,1
動作流暢，,1
陀螺儀瞄準效果逼真（我端搶扭到腰疼），,0
害怕無陀螺儀的朋友可以安心了。,0
但玩遊戲發熱嚴重。,0
   四、缺憾：,0
    1、揚聲器音量小，,2
意料之中，,0
無奈。,0
    2、機型薄則電量不夠，,2
兩難選擇。,0
技術瓶頸。,0
    3、防爆膜不放刮，,2
使用兩週螢幕已出現一道劃痕。,0
   五、總結：,0
   直板手機接近封頂之作，,0
綜合感覺最佳，,0
足以抵抗其它新機誘惑。,0
   預判今後的發展，,0
裸眼3D料難抵擋谷歌雙鏡，,0
手機擺脫螢幕限制，,0
前景不可限量。,0
宅女獻上藍色國行三星S3，,0
下面談談回家以後的使用感受：,0
個人喜歡三星S3的地方：,0
螢幕大，,1
手機很薄，,0
很輕，,0
喜歡！,0
裝了4個遊戲(捕魚達人、湯姆貓，水果忍者，飛機）還有幾個軟體，,0
才想起來去跑分，,0
用的按兔兔，,0
跑了12051分，,0
不知道算不算高，,0
我看排名，,0
魅族4核的排我們前面啊，,0
傷不起。,0
用S3試拍了幾張照片，,1
效果不錯！,0
而且反應好快！,1
另外S3的訊號也不錯，,1
無論是GPS訊號還是WIFI訊號還是手機訊號都不錯！,0
關於螢幕壞點，,1
我檢測了，,0
沒有壞點。,0
S3的金屬聽筒也很牢固。,1
其他的優點大家也聽很多了，,0
這是我最直觀的一些感受。,0
個人感覺不好的地方是用瀏覽器開啟網頁的時候，,0
縮小和放大網頁時，,0
有卡頓。,0
當螢幕鎖了以後，,0
再按HOME鍵或者開關鍵準備解鎖時，,0
按鍵以後到螢幕亮起來時，,2
時間有點長，,0
不是一按就有反應，,0
但在接受範圍之內。,0
期待新的ROM能最佳化這些小問題~,0
由於我這邊今天才能剪卡，,0
所以通話還沒測試。,0
總的來說，,0
還是對三星S3很滿意的。,0
 入手港版白色蘋果IPhone5使用2周，,0
談談使用感受~ ,0
使用到現在已經2周了，,0
先談談感受,0
1.機子再怎麼用心保護也會受損，,0
